Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
스미노프,130,96,0,0,https://lolchess.gg/profile/KR/스미노프
WinMo,129,134,0,0,https://lolchess.gg/profile/KR/WinMo
맥주먹다 다친 훈,129,136,0,0,https://lolchess.gg/profile/KR/맥주먹다 다친 훈
Stiis,128,141,0,0,https://lolchess.gg/profile/KR/Stiis
네네네네네대폭주,128,145,0,0,https://lolchess.gg/profile/KR/네네네네네대폭주
unlord,128,109,0,0,https://lolchess.gg/profile/KR/unlord
잠이 드는 상상,128,236,0,0,https://lolchess.gg/profile/KR/잠이 드는 상상
4a4a4a4a4a4a,127,167,0,0,https://lolchess.gg/profile/KR/4a4a4a4a4a4a
돌돌잭,126,178,0,0,https://lolchess.gg/profile/KR/돌돌잭
백숭민,126,136,0,0,https://lolchess.gg/profile/KR/백숭민
